,age,gender,miles,debt,income,sales
0,28,0,23,0,4099,620
1,26,0,27,0,2677,1792
2,30,1,58,41576,6215,27754
3,26,1,25,43172,7626,28256
4,20,1,17,6979,8071,4438
5,58,1,18,0,1262,2102
6,44,1,17,418,7017,8520
7,39,1,28,0,3282,500
8,44,0,24,48724,9980,22997
9,46,1,46,57827,8163,26517
10,34,1,23,2595,7908,14112
11,32,1,23,33119,7261,20956
12,25,0,18,3517,5069,7650
13,35,0,14,1543,1376,3197
14,19,0,22,9362,4218,4531
15,53,1,47,3596,11069,18005
16,57,0,34,58481,7054,22854
17,27,1,33,3410,6755,10278
18,37,1,11,0,2170,739
19,24,0,30,2822,3462,4271
20,44,1,17,247,3586,4733
21,48,0,10,0,188,971
22,40,1,15,7254,6472,6263
23,54,1,31,41258,11881,24677
24,34,0,32,43708,11081,22830
25,57,0,34,8045,6385,9913
26,58,0,29,263,4766,3598
27,26,0,10,1971,9754,5222
28,49,1,21,47277,6370,22450
29,55,1,25,59138,10739,24993
30,40,1,38,56500,6528,28607
31,54,1,28,9882,8616,16875
32,59,1,30,751,2457,3199
33,36,0,38,50167,6022,25394
34,46,0,16,4342,6673,11562
35,21,0,25,4133,4212,4376
36,33,1,17,7134,7025,11530
37,31,1,22,0,3957,780
38,24,0,11,5503,1685,2945
39,29,1,18,166,7104,7601
40,25,0,20,6114,1206,15044
41,22,1,10,2389,1517,2073
42,22,0,23,3899,1882,2869
43,22,1,26,3992,4777,1492
44,38,1,28,5110,2818,5927
45,21,0,15,7375,3614,3454
46,21,1,14,9592,1305,2282
47,44,0,46,8590,11663,17374
48,52,1,48,23918,6654,20341
49,37,0,27,8020,6983,7062
50,35,1,23,47753,6595,27677
51,28,0,34,9310,6936,12581
52,30,0,35,3001,5805,10780
53,30,1,16,5044,11404,15288
54,45,1,26,72,2906,3928
55,25,0,18,1123,6874,3852
56,30,1,36,22992,6540,18819
57,58,1,27,0,1558,1447
58,27,1,21,2398,5094,15573
59,38,1,33,53432,6162,25996
60,46,1,26,8549,6669,14202
61,41,0,31,58742,10717,24097
62,60,0,39,10293,8851,21708
63,27,0,26,6551,3587,14074
64,35,0,38,30534,11236,21608
65,31,0,18,1383,4294,3453
66,29,0,26,5397,5427,6376
67,29,1,42,16366,11629,20247
68,35,1,50,54167,9503,22842
69,25,1,15,73,7292,5018
70,50,1,18,0,740,648
71,33,0,17,596,1419,2454
72,50,0,88,53232,7854,27800
73,56,1,14,67,1997,2531
74,49,1,30,0,0,1205
75,43,0,23,5313,8598,16653
76,30,1,80,50583,8776,28822
77,25,1,21,55591,8252,24291
78,48,0,25,5844,5376,12748
79,36,0,22,2394,9269,15905
80,25,1,19,4307,1304,5489
81,28,1,50,52146,9773,26152
82,24,1,14,733,3758,4785
83,36,0,26,6900,5463,6465
84,35,1,29,1802,5406,6200
85,21,1,25,7475,9604,4923
86,59,1,89,51363,9491,29715
87,56,0,31,11100,11495,20532
88,56,1,41,45577,9100,23645
89,39,1,25,56372,6942,22508
90,38,1,45,40218,7501,24130
91,34,1,25,0,0,1432
92,37,1,30,0,10744,27213
93,53,0,22,5214,7710,7388
94,29,1,20,5274,2848,5580
95,53,1,35,44112,8673,24161
96,55,0,20,41178,7710,24583
97,46,1,23,8816,6227,7274
98,20,0,26,9703,4239,3978
99,44,0,33,4169,7424,8082
100,27,1,68,40933,11664,27667
101,30,1,26,25184,9102,18965
102,46,1,47,43107,7385,23883
103,48,0,22,0,0,1206
104,25,0,20,16241,2262,19606
105,33,0,49,30660,10239,19634
106,23,0,13,8746,2650,4298
107,26,1,20,5015,7750,9851
108,37,1,53,50310,9689,27777
109,25,1,23,3212,3339,3310
110,53,1,13,0,6309,2228
111,42,1,28,8017,2118,9834
112,32,0,29,7730,5763,13699
113,26,0,34,25462,8030,21242
114,37,1,33,2014,5111,14133
115,59,1,50,49859,7120,24203
116,24,1,13,4829,1778,2327
117,58,0,47,53965,7824,26141
118,31,0,30,12650,9233,19173
119,25,0,12,787,2762,3433
120,56,1,16,5856,2512,10369
121,47,0,43,55494,6260,25664
122,25,1,28,8801,5718,9041
123,21,0,28,7205,10145,1712
124,53,0,30,17091,8908,18655
125,36,0,22,7530,5217,11119
126,31,0,22,9898,8559,7165
127,46,0,47,18335,10701,21376
128,46,1,13,91,6581,3510
129,58,0,38,529,11730,16837
130,27,1,20,0,1751,549
131,21,1,23,9508,4866,3014
132,29,0,27,1967,4987,3224
133,36,0,31,57197,11084,27599
134,22,0,20,361,2033,2195
135,51,0,28,42443,10957,24498
136,31,0,27,38560,6076,20050
137,27,1,21,0,0,1114
138,51,1,16,0,3564,1819
139,47,1,24,5998,7931,13460
140,19,0,21,8814,0,3472
141,60,1,35,45568,11145,25239
142,35,0,16,0,1900,624
143,32,1,23,0,1488,2217
144,22,0,22,2556,4193,2950
145,59,0,41,50049,7428,27304
146,35,1,24,465,11458,6112
147,29,0,18,6827,4970,6748
148,57,1,29,20118,6792,21126
149,21,1,29,6455,2655,4717
150,44,1,38,46653,9772,28228
151,50,1,30,506,4765,4176
